Binomial,Sun,waterAndSoil,minHtFt,maxHtFt,bloomColor,bloomTime,advantages,germCode,description
Acmella oleraca,,,,,,,,,
Allium tricoccum,Partial; Shade,Medium-Wet; Medium; Medium-Dry,0.5,0.75,White,June; July,Deer Resistant; Star,E,"Wild Leeks, also known as “Ramps”, are popular among urban foodies and foragers alike.   Although plentiful in some areas, Wild Leeks face the same pressures as other woodland plants, such as encroachment by invasive species, development and over-collection. If foraging for Wild Leeks, or other woodland natives, remember to harvest sustainably as they are very, very slow to reproduce. From successful seed germination to ramp harvest can be 5-7 years. There is plenty of flavor in the leaves alone. Clipping a few leaves instead of digging the bulb will ensure that a patch of Wild Leeks can thrive while being enjoyed. Wild Leek prefers typical woodland conditions: medium wet to medium dry soil and full to partial shade. It has reddish stalks reaching heights of 8"" in the spring. The early foliage dies back late spring before the white to creamy-white flowers appear in June or July.   The seeds of Allium tricoccum will bounce when dropped onto a hard surface; a seed dispersal mechanism of the plant."
Amorpha fruticosa,Full; Partial,Medium-Wet; Medium; Medium-Dry; Dry,12,12,Purple,June; July; August,Deer Resistant; Pollinators,C(10),"With most of its foliage in the upper third of the tall, bushy plant, Amorpha fruticosa can form thickets in dense plantings. The genus name is from the Greek for formless or deformed, because the single-petaled flower is unlike most blossoms in the pea family.   Other Common Names in use: Desert False Indigo and Indigo Bush. A vigorous plant throughout its range, this species can be invasive when planted outside of its historic regions.   We are waiting for an updated BONAP map for this species. It is native throughout much of the US but not native in Washington, Maine, New Hampshire, Vermont, Massachusetts, Connecticut, and Rhode Island. It is a prohibited species is Maine and Connecticut. It is an invasive species in Connecticut and Washington. It is also not native in Michigan and the Northwest area of the U. S."
Amsonia taberneamontana,,,,,,,,,
Anaphalis margaritacea,Full; Partial,Medium-Dry; Dry,2,2,White,June; July; August; September,Deer Resistant; Star,C(30),"The stems and elongated leaves of  Pearly Everlasting are covered with white hairs.   Clustered at the top of erect stems, the tiny yellow flowers are enclosed by white papery bracts, often mistaken for petals.   The overall appearance is a pearly mound; a nice shape and color for a garden edge.   Pair it with a contrasting, bright plant like Bush's Poppy Mallow for a stunning display. There are separate male and female flowers, usually on separate plants, and they take on different gender-specific yellow or rust-yellow color as shown in the photo.   Blossoms can be dried for durable bouquets or flower arrangements as they keep their color and shape well. In the spring, this plant is a larvae host for the American Painted Lady- Vanessa virginensis (see photo of a surprise we found in our greenhouse one spring); you are sure to see this well-loved butterfly flying around your plants.   The young larvae create a silken web around the plant to feed.  This can look discouraging if you are trying to grow this plant, but like in many native plant-insect relationships, the plant generally makes a full recovery and flowers later in the summer.   Flowers persist and are profuse late-summer through fall to attract numerous beneficial insects. Pearly Everlasting is drought tolerant as it prefers full sun and dry, even rocky or poor soil conditions.   Moderate shade and medium soils are also tolerated. Its native range is vast from northern Maine to Virginia in the East, and Washington to Arizona in the West.  Spring Potted Plants (3-packs) ship when all plants are well-rooted and transit-ready, early May through June."
Andropogon scoparius 'Prairie Blues',,,,,,,,,
Andropogon virginicus,Full; Partial,Medium; Medium-Dry; Dry,4,4,,August; September,,C(30),"NEW! This perennial grass stands strongly upright and is good fuel for a prescribed burn. It has nice fall/winter color. It may also be called Broomstraw, Broomsedge Bluestem or Whiskey Grass. While not a preferred food by large herbivores such as cattle, small upland birds will eat seeds from the stalks in the winter when little else is available. Broomsedge's most valuable characteristic is its upright behavior where it can act as cover for groundnesting birds."
Anemone virginiana,Full; Partial; Shade,Medium-Dry; Dry,3,3,White,June; July; August,Deer Resistant; Recommeded for Landscaping,C(60),"Tall thimbleweed has long-lasting, off-white flowers, and as with the other anemones, what appear to be petals are actually colored sepals. The thimble-like seed heads are ornamental, becoming fluffy when they disperse their seed. This makes them fun multi-season plants of interest. Tall thimbleweed prefers open woods and clearings. Tall Thimbleweed is similar to its cousin Anemone cylindrica, but the fruiting cluster or ""thimble"" of virginiana is shorter than that of cylindrica. Both have lobed leaves, but the leaves of the cylindrica are wedge shaped while those of virginiana are rounded with fine teeth. Also called Tall or Virginia Anemone."
Anemonella thalictroides,Partial; Shade,Medium; Medium-Dry,0.5,0.5,Pink,April; May; June,Recommeded for Landscaping,E,"Rue Anemone is a delicate-looking early spring plant that blooms in various shades of pink. It begins to come up through brown leaves from the previous fall. The ""petals"" are actually sepals so they continue to bloom for a longer period of time. The root system produces very small tubers. It is similar in appearance to False Rue Anemone (Isopyrum biternatum) which has white blooms . Both are found in the same habitats. Rue Anemone, dies back in mid-summer making it a true spring ephemeral. Another scientific name is Thalictrum thalictroides."
Angelica atropurpureum,,,,,,,,,
